n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
201298435,-7.418638055,55.1127772,substation,110000,50,Trillick 110kV Substation,EirGrid,
66493784,-7.697499941,54.92418634,substation,110000,,Letterkenny 110kV Station,,
439829351,-7.364891995,55.13110096,plant,0,,Sorne Hill Wind Farm,,
185706501,-6.514423637,52.53235491,substation,110000,50,Crane 110kV Substation,EirGrid,
185706609,-6.27255278,52.65026382,substation,110000,,Banoge,EirGrid,
147525695,-6.147704721,52.81515325,substation,220000,50,Arklow 220kV Substation,EirGrid,
232344721,-6.539491372,52.34035281,substation,110000,,Wexford 110kV Substation,EirGrid,
143423158,-6.249530416,52.53783133,substation,110000,50,Ballywater 110kV Substation,EirGrid,
438076106,-6.252271924,53.31504662,substation,110000,50,Milltown 110kV Substation,EirGrid,
359657275,-6.206680944,53.33972144,substation,110000,,Ringsend 110kV Substation,EirGrid,
200447504,-9.187927464,54.12326194,substation,110000,50,Moy 110kV Substation,EirGrid,
205659794,-9.578872611,54.12039164,substation,110000,50,Bellacorrick 110kV Substation,EirGrid,
334101859,-9.219434554,54.1929875,substation,110000,50,Tawnaghmore 110kV Subtation,EirGrid,
181365675,-8.989322729,54.10535034,substation,110000,50,Bunnyconnellan East 110kV Substation,EirGrid,
265890836,-6.40103881,53.72477414,substation,110000,50,Drybridge 110kV Substation,EirGrid,
264275258,-6.565756758,53.96733752,substation,275000,50,Louth Substation,EirGrid,
235562808,-6.386166838,53.68083839,substation,110000,,Platin Substation,EirGrid,
264852019,-6.644210335,53.70093085,substation,220000,50,Gorman 220kV Substation,EirGrid,
266052564,-6.440077736,53.54541708,substation,110000,50,Baltrasna 110kV Substation,EirGrid,
200365081,-8.598416003,53.09170937,substation,110000,50,Derrybrien 110kV Substation,EirGrid,
200362903,-8.549918055,53.03673499,substation,110000,50,Agannygal 110kV Substation,EirGrid,
215062045,-7.985966237,53.91445776,substation,110000,50,Gilra 110kV Substation,EirGrid,
194575030,-8.123854583,53.91167305,substation,220000,50,Flagford 220kV Substation,EirGrid,
202739744,-8.067232424,52.47221682,substation,110000,50,Tipperary 110kV Substation,EirGrid,
374590823,-7.898371831,52.37696878,substation,110000,,Cahir 110kV Substation,EirGrid,
236522320,-8.193958379,52.53755409,substation,110000,,Cauteen 110 kV substation,EirGrid,
219457456,-7.084801066,53.28909749,substation,110000,50,Cushaling 110kV Substation,EirGrid,
445614729,-7.235859913,53.27214914,plant,0,,Mountlucas Wind Farm,Bord na Móna Powergen Limited,
324120209,-7.085347861,53.29052379,plant,0,,Edenderry Power Plant,Bord na Móna,
265388725,-7.298569349,53.0272975,substation,110000,50,Portlaoise 110kV Substation,EirGrid,
264972202,-6.835504568,53.19558735,substation,110000,,Newbridge 110kV Substation,EirGrid,
144584625,-6.095874582,52.99095022,substation,110000,,Ballybeg 110kV Substation,EirGrid,
35150701,-6.196441068,53.25618085,substation,220000,50,Carrickmines Substation,EirGrid,
207339053,-9.422606282,52.61056595,substation,400000,50,Moneypoint Switching Station,EirGrid,
212731351,-9.240802242,52.77550222,substation,110000,50,Booltiagh 110kV Substation,EirGrid,
218901878,-9.479114969,52.67307172,substation,110000,50,Tullabrack 110kV Substation,EirGrid,
183549487,-7.772201967,54.86315389,substation,110000,,Drumkeen 110kV Substation,EirGrid,
183986064,-8.176980827,54.4987474,substation,110000,,Cathleens Fall 110kV Substation,EirGrid,
183084855,-7.935139972,54.68712518,substation,110000,50,Cullionboy 110kV Substation,EirGrid,
183549490,-7.842438721,54.86765289,substation,110000,,Meentycat 110kV Substation,EirGrid,
124120112,-8.467148945,54.24121282,substation,110000,50,Sligo 110kV Substation,EirGrid,
179714187,-8.64919862,54.11115237,substation,110000,50,Cunghill 110kV Substation,EirGrid,
183080497,-8.230538092,53.26662141,substation,110000,50,Somerset 110kV Substation,EirGrid,
42998577,-8.853481515,53.30811513,substation,220000,50,Cashla,EirGrid,
266249997,-6.731071679,53.89115657,substation,110000,,Meath Hill 110kV Substation,EirGrid,
265890258,-6.70645971,53.69977352,substation,110000,50,Navan 110kV Substation,EirGrid,
439775806,-5.764761303,54.72840822,substation,110000,,Kilroot 110kV Substation,NIE Networks,
166764822,-5.78273829,54.73774781,substation,110000,50,Carrickfergus 110kV Substation,NIE Networks,
384987120,-6.179562115,52.81306274,substation,110000,,,EirGrid,
98820679,-6.451632712,53.3292044,substation,110000,50,Grange Castle West 110kV Cable Compound,EirGrid,
98820685,-6.445298823,53.32997821,substation,110000,50,Grange Castle 110kV Substation,EirGrid,
257886373,-6.564457171,53.34355664,substation,110000,50,Griffinrath 110kV Substation,EirGrid,
88462768,-6.601984869,53.34857595,substation,220000,50,Maynooth 220kV Substation,EirGrid,
375066696,-5.861298707,54.78416292,substation,110000,50,Ballyvallagh 110kV Substation,NIE Networks,
142185552,-6.167466773,54.80152056,substation,275000,50,Kells  275kV Substation,NIE Networks,
375457082,-5.782203619,54.84239354,substation,110000,,Ballylumford,NIE Networks,
166764804,-5.855481594,54.8477244,substation,110000,50,Larne 110kV Substation,NIE Networks,
91799111,-9.674034313,52.28902633,substation,110000,50,Tralee 110kV Substation,EirGrid,
211049457,-8.968554906,52.54374836,substation,110000,50,Rathkeale 110kV Substation,EirGrid,
208125589,-9.369149295,52.58776393,plant,0,,Tarbert Power Station,SSE Ireland,
210599157,-9.548025952,52.37877378,substation,110000,50,Pallas 110kV Substation,EirGrid,
98792229,-6.433253169,53.32835812,substation,110000,50,Grange Castle East 110kV Cable Compound,EirGrid,
456199341,-6.339196191,53.33378333,substation,220000,50,Inchicore 220kV Substation,EirGrid,
366946550,-6.285396291,54.85119932,substation,110000,,Ballymena 110kV Substation,NIE Networks,
374863965,-6.687369338,55.10936901,substation,110000,,Coleraine 110kV Substation,NIE Networks,
374858231,-6.915871028,55.02426599,substation,110000,50,Limavady 110kV Substation,NIE Networks,
377711903,-6.749615345,54.53308253,substation,110000,50,Dungannon 110kV Substation,NIE Networks,
259105170,-6.454576027,54.4017897,substation,110000,50,Drumnakelly 110kV Substation,NIE Networks,
246804766,-6.220756935,54.72771226,substation,110000,,Antrim 110kV Substation,NIE Networks,
265386067,-6.881296582,53.28865149,substation,110000,50,Blake 110kV Substation,EirGrid,
98203610,-6.416324744,53.2892187,substation,110000,,Citywest,EirGrid,
285823895,-6.340142023,53.33356352,substation,220000,50,220kV GIS Substation,EirGrid,
267172950,-6.910221737,54.24472031,substation,110000,50,Lisdrum 110kV Substation,EirGrid,
152444285,-7.298923456,53.99876529,substation,110000,,Shankill 110kV Substation,EirGrid,
151556697,-7.857042057,53.74318224,substation,110000,50,Richmond 110kV Substation,EirGrid,
342820729,-7.987825667,53.675107,substation,110000,50,Lanesborough 110kV Substation,EirGrid,
