DateTime,AI Demand,AI Wind Availability,AI Wind Generation,AI Solar Generation,SNSP,AI Oversupply,Moyle I/C,EWIC I/C,Inter-Jurisdictional Flow
2025-01-01 00:00:00+00:00,4061.751,3356.3179999999998,2007.1100000000001,0.0,0.6401,0.0,261.246,417.63,-456.99
2025-01-01 00:15:00+00:00,4015.7790000000005,3379.6360000000004,2108.378,0.0,0.6353,0.0,187.408,346.57,-414.21
2025-01-01 00:30:00+00:00,3971.138,3471.12,2204.246,0.0,0.6318,0.0,124.073,273.35,-397.41
2025-01-01 00:45:00+00:00,3937.172,3547.469,2312.554,0.0,0.6481,0.0,115.819,294.66,-429.89
2025-01-01 01:00:00+00:00,3924.215,3559.583,2258.205,0.0,0.6503,0.0,115.806,369.67,-411.39
2025-01-01 01:15:00+00:00,3888.0570000000002,3535.34,2156.379,0.0,0.6453,15.70199999999977,115.78,405.19,-410.43
2025-01-01 01:30:00+00:00,3844.5,3590.397,2170.361,0.0,0.6419,51.965999999999894,115.801,341.02,-449.54
2025-01-01 01:45:00+00:00,3791.549,3732.791,2119.734,0.0,0.6344,234.39100000000008,115.78,329.28,-447.98
2025-01-01 02:00:00+00:00,3812.0660000000003,3753.5950000000003,2107.3269999999998,0.0,0.6365,270.06799999999976,115.78,364.62,-438.35
2025-01-01 02:15:00+00:00,3773.562,3734.5099999999998,2089.137,0.0,0.6383,290.1619999999998,115.791,365.17,-437.09
2025-01-01 02:30:00+00:00,3717.612,3676.633,2050.514,0.0,0.6333,269.84000000000015,115.795,346.31,-449.85
2025-01-01 02:45:00+00:00,3653.8459999999995,3556.323,1944.926,0.0,0.6174000000000001,216.82599999999957,115.774,349.38,-431.16
2025-01-01 03:00:00+00:00,3647.8399999999997,3431.457,1909.024,0.0,0.6189,138.42899999999963,115.778,390.52,-412.99
2025-01-01 03:15:00+00:00,3615.537,3299.816,1877.2959999999998,0.0,0.6172,43.46199999999999,115.749,394.61,-419.12
2025-01-01 03:30:00+00:00,3561.689,3199.115,1806.8690000000001,0.0,0.6126,17.6579999999999,115.751,415.69,-422.45
2025-01-01 03:45:00+00:00,3520.544,3198.0519999999997,1776.396,0.0,0.6111,58.935999999999694,115.763,416.02,-416.67
2025-01-01 04:00:00+00:00,3495.7850000000003,3284.621,1737.04,0.0,0.6035,165.94399999999996,115.77,410.34,-428.75
2025-01-01 04:15:00+00:00,3464.0499999999997,3282.37,1699.432,0.0,0.5996,201.13499999999976,115.759,417.09,-423.61
2025-01-01 04:30:00+00:00,3449.024,3261.759,1668.972,0.0,0.6007,223.538,115.744,445.45,-415.4
2025-01-01 04:45:00+00:00,3421.7490000000003,3245.669,1603.1019999999999,0.0,0.5982999999999999,280.97999999999956,115.745,492.39,-402.7
2025-01-01 05:00:00+00:00,3434.221,3242.227,1584.989,0.0,0.6003000000000001,299.91299999999956,115.743,525.34,-387.41
2025-01-01 05:15:00+00:00,3431.365,3237.083,1631.98,0.0,0.5987,240.04500000000007,115.73,466.18,-390.16
2025-01-01 05:30:00+00:00,3411.82,3190.4399999999996,1664.846,0.0,0.5914,138.59599999999955,115.707,391.16,-391.71
2025-01-01 05:45:00+00:00,3438.3269999999998,3140.0330000000004,1754.483,0.0,0.5920000000000001,0.0,115.762,316.19,-415.75
2025-01-01 06:00:00+00:00,3499.6299999999997,3162.901,1904.0230000000001,0.0,0.6026,0.0,115.773,241.2,-421.75
2025-01-01 06:15:00+00:00,3533.881,3076.025,2013.673,0.0,0.6065999999999999,0.0,115.765,166.19,-419.66
2025-01-01 06:30:00+00:00,3550.9610000000002,2986.0099999999998,2101.754,0.0,0.6078,0.0,115.78,91.22,-413.05
2025-01-01 06:45:00+00:00,3576.032,2849.084,2116.114,0.0,0.6064,0.0,115.788,93.73,-423.65
2025-01-01 07:00:00+00:00,3652.585,2854.189,2145.545,0.0,0.6206,0.0,115.786,168.73,-401.49
2025-01-01 07:15:00+00:00,3695.013,2811.058,2107.601,0.0,0.6233,0.0,115.801,221.66,-377.2
2025-01-01 07:30:00+00:00,3725.8109999999997,2840.7889999999998,2089.8940000000002,0.0,0.618,0.0,115.778,177.12,-363.74
2025-01-01 07:45:00+00:00,3758.121,2813.3070000000002,2056.2439999999997,0.0,0.6185,0.0,115.788,228.87,-345.84
2025-01-01 08:00:00+00:00,3781.9489999999996,2765.477,2009.816,0.0,0.6208,0.0,115.774,303.88,-327.81
2025-01-01 08:15:00+00:00,3820.454,2683.594,1965.413,0.0,0.622,0.0,120.897,375.53,-326.21
2025-01-01 08:30:00+00:00,3836.2529999999997,2674.196,1886.2869999999998,0.0,0.6165999999999999,0.0,181.76,381.63,-397.11
